Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country,City,State,Postal Code,Region,New Product ID,Sales
CA-2017-152156,8/11/2017,11/11/2017,Second Class,CG-12520,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798-Bush Somerse,261.96
CA-2017-152156,8/11/2017,11/11/2017,Second Class,CG-12520,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454-Hon Deluxe F,731.94
CA-2017-138688,12/06/2017,16/06/2017,Second Class,DV-13045,United States,Los Angeles,California,90036,West,OFF-LA-10000240-Self-Adhesiv,14.62
US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577-Bretford CR4,957.5775
US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760-Eldon Fold ',22.368
CA-2015-115812,9/06/2015,14/06/2015,Standard Class,BH-11710,United States,Los Angeles,California,90032,West,FUR-FU-10001487-Eldon Expres,48.86
CA-2015-115812,9/06/2015,14/06/2015,Standard Class,BH-11710,United States,Los Angeles,California,90032,West,OFF-AR-10002833-Newell 322,7.28
CA-2015-115812,9/06/2015,14/06/2015,Standard Class,BH-11710,United States,Los Angeles,California,90032,West,TEC-PH-10002275-Mitel 5320 I,907.152
CA-2015-115812,9/06/2015,14/06/2015,Standard Class,BH-11710,United States,Los Angeles,California,90032,West,OFF-BI-10003910-DXL Angle-Vi,18.504
CA-2015-115812,9/06/2015,14/06/2015,Standard Class,BH-11710,United States,Los Angeles,California,90032,West,OFF-AP-10002892-Belkin F5C20,114.9
CA-2015-115812,9/06/2015,14/06/2015,Standard Class,BH-11710,United States,Los Angeles,California,90032,West,FUR-TA-10001539-Chromcraft R,1706.184
CA-2015-115812,9/06/2015,14/06/2015,Standard Class,BH-11710,United States,Los Angeles,California,90032,West,TEC-PH-10002033-Konftel 250 ,911.424
CA-2018-114412,15/04/2018,20/04/2018,Standard Class,AA-10480,United States,Concord,North Carolina,28027,South,OFF-PA-10002365-Xerox 1967,15.552
CA-2017-161389,5/12/2017,10/12/2017,Standard Class,IM-15070,United States,Seattle,Washington,98103,West,OFF-BI-10003656-Fellowes PB2,407.976
