Product ID,Category,Sub-Category,Product Name,New Product ID
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,FUR-BO-10001798-Bush Somerse
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454-Hon Deluxe F
OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,OFF-LA-10000240-Self-Adhesiv
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577-Bretford CR4
OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,OFF-ST-10000760-Eldon Fold '
FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU-10001487-Eldon Expres
OFF-AR-10002833,Office Supplies,Art,Newell 322,OFF-AR-10002833-Newell 322
TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,TEC-PH-10002275-Mitel 5320 I
OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,OFF-BI-10003910-DXL Angle-Vi
OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,OFF-AP-10002892-Belkin F5C20
FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,FUR-TA-10001539-Chromcraft R
TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,TEC-PH-10002033-Konftel 250 
OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,OFF-PA-10002365-Xerox 1967
OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,OFF-BI-10003656-Fellowes PB2
OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",OFF-AP-10002311-Holmes Repla
OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,OFF-BI-10000756-Storex DuraT
OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",OFF-ST-10004186-Stur-D-Stor 
OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,OFF-ST-10000107-Fellowes Sup
OFF-AR-10003056,Office Supplies,Art,Newell 341,OFF-AR-10003056-Newell 341
TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,TEC-PH-10001949-Cisco SPA 50
OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",OFF-BI-10002215-Wilson Jones
OFF-AR-10000246,Office Supplies,Art,Newell 318,OFF-AR-10000246-Newell 318
